session,time,price_dayvwap_atr,price_weekvwap_atr,price_slvwap_atr,price_shvwap_atr,dayvwap_slvwap_spread_atr,shvwap_dayvwap_spread_atr,shvwap_slvwap_spread_atr,day_slope_atr,slvwap_slope_atr,shvwap_slope_atr,slvwap_freshness_bars,shvwap_freshness_bars,stack_bull,stack_bear,ret_h_close,ret_h_30bar,ret_h_60bar,label_ret_h_close,label_ret_h_30bar,label_ret_h_60bar
NY,2017-02-23 15:00:00,8.239322646756058,12.052754973800916,3.4931158253827626,4.176687353173738,-4.7462068213732955,4.0626352935823205,-0.683571527790975,0.5200274103493434,1.583950428481845,1.4286857292715112,23,37,0,0,9.722739832432858,7.204290739259676,7.616400590869839,1.0,1.0,1.0
ASIA,2017-02-24 03:00:00,-1.8410885874861747,42.638967004549016,-1.904506282340971,-1.496505897812346,-0.06341769485479647,-0.34458268967382866,-0.40800038452862514,-0.43436700430906544,-1.127323569682604,-1.7454942118672379,26,18,0,0,6.786869427990201,2.818590582116227,5.785528036975281,1.0,1.0,1.0
NY,2017-02-24 15:00:00,11.919323351662666,44.52650285342422,0.7494609362637147,1.1407905968867045,-11.169862415398951,10.778532754775961,-0.39132966062298974,0.25353237474966006,0.5724640768916646,0.3880822768964647,21,33,0,0,-3.7045757892497564,4.116195321388214,-6.494441507079679,0.0,1.0,0.0
ASIA,2017-02-27 03:00:00,-0.5961235590051567,-0.5961235590051567,-1.4094710712761738,-1.5093257491579481,-0.8133475122710171,0.9132021901527914,0.0998546778817743,0.001883187885504312,-0.36786277671044265,-0.7122536945594506,27,21,0,1,1.5174490439697368,3.972957496939426,1.3243191656464754,1.0,1.0,1.0
NY,2017-02-27 15:00:00,-1.7643984639626418,-1.7643984639626418,2.061420775138602,0.7653886710766402,3.8258192391012438,-2.529787135039282,1.2960321040619616,-0.04591684609759003,0.8567317591374981,-0.023210375262242747,24,70,0,0,14.779975902905544,3.202328112296455,5.278562822466209,1.0,1.0,1.0
ASIA,2017-02-28 03:00:00,-1.1605390986925095,-9.044582602171637,-0.5640506805312043,-0.8975997601776643,0.5964884181613052,-0.2629393385148452,0.33354907964645997,-0.3416052775066097,-0.11399274251174321,-0.33827056968882474,83,47,0,0,1.1083388154865286,0.715802151668569,1.3161523433906792,1.0,1.0,1.0
NY,2017-02-28 15:00:00,1.4774040282502827,-6.821403659452293,-0.1946453479847969,-0.07164131445532251,-1.6720493762350797,1.5490453427056052,-0.1230040335294744,0.03233638916536675,-0.02003979195630587,0.008335398032251714,34,55,0,0,12.439052152377457,5.1979614066697355,7.150952686632606,1.0,1.0,1.0
ASIA,2017-03-01 03:00:00,-2.274949062012045,-23.05406243119355,-5.612423256398524,-1.5589110622316922,-3.337474194386479,-0.716037999780353,-4.053512194166832,-0.41618134425673525,-0.45920271752998987,-0.3714720170493598,101,48,0,0,-4.7283971726691885,-1.0800907247210612,4.416370963306029,0.0,0.0,1.0
NY,2017-03-01 15:00:00,-5.1675073882875076,-22.370862502081188,1.0940113180740825,-2.2236708790820088,6.26151870636159,-2.9438365092054988,3.317682197156091,-0.13305507572647668,0.3561809181110767,-0.6942990357369334,25,75,0,0,3.5614577112513954,-11.67617148372361,-6.221280558895109,1.0,0.0,0.0
ASIA,2017-03-02 03:00:00,1.1911742076491494,-8.133192374930402,1.6306039255894695,1.1662356568490433,0.43942971794032015,0.0249385508001061,0.46436826874042625,-0.06287500840578097,0.04883636878386931,-0.3041489460479518,40,21,1,0,-2.9184710029935257,-4.445895079327149,-5.07322996782055,0.0,0.0,0.0
NY,2017-03-02 15:00:00,-10.303257703495017,-21.610343018687384,0.3712027776815203,-2.3641501106646285,10.674460481176537,-7.939107592830388,2.735352888346149,-0.2549256497573071,1.573820510720119,-0.1991086959775597,17,67,0,0,2.1927206593007194,-3.1355905428001685,-2.9601728900557718,1.0,0.0,0.0
ASIA,2017-03-03 03:00:00,-2.8910593383793723,-41.085657433746775,-2.141065819191761,-2.784874547731542,0.7499935191876116,-0.10618479064783047,0.6438087285397811,-0.4033625016432186,-0.7842425022085464,-0.45803162285871335,18,43,0,0,-1.3759321286928345,-2.1340988118500457,-3.790833415786055,0.0,0.0,0.0
NY,2017-03-03 15:00:00,-4.583349516017709,-41.14666694051727,2.2591333724200164,1.820289868095356,6.842482888437725,-6.403639384113065,0.4388435043246603,-0.22617949235005522,0.5276951292449419,0.021559304738648685,24,70,0,0,-6.432881913925142,0.41857793275551286,-6.521003583978828,0.0,1.0,0.0
ASIA,2017-03-06 03:00:00,0.2615026740346555,0.2615026740346555,0.10643727112818745,-0.7059213183517966,-0.15506540290646803,0.967423992386452,0.8123585894799841,-0.027168470406459443,-0.05540961530909431,-0.3908042627082793,55,31,0,0,-2.7754324054536,-2.8978779527533853,-2.306057807472405,0.0,0.0,0.0
NY,2017-03-06 15:00:00,-5.54139193420161,-5.54139193420161,1.460660182520266,1.5307819843385482,7.0020521167218766,-7.072173918540159,-0.0701218018182822,-0.05129406870634378,0.5898556759086069,0.3862807268841673,42,59,0,0,-10.362504649087398,3.0498341442133823,-1.1436878040796243,0.0,1.0,0.0
ASIA,2017-03-07 03:00:00,-3.2917872951018983,-20.516970103441917,-3.270269631104512,-3.11079614621768,0.02151766399738611,-0.1809911488842187,-0.15947348488683258,-0.6353943456279073,-0.5939309607243477,-0.6729680719676402,62,50,0,0,5.484823524812478,5.088697381353457,4.6011575124816675,1.0,1.0,1.0
